ID;name;surname;dateBirth;height;weight;role;foot
532fb71f-ebe4-408d-92ec-f8d5588e4615;Vincenzo;Fiorillo;1998-01-13;191;75;goalkeeper;right
4b116033-52b5-4237-9065-1412a57bf497;Mirko;Valdifiori;1986-04-21;185;71;midfielder;left
