ID;player_ID;presence;goal;goalConceded;assist;yellowCard;redCard;playedMinute
b120f5d5-4dfa-4bd2-964c-8257c52e99fe;4b116033-52b5-4237-9065-1412a57bf497;24;16;0;5;3;0;1367
822f6e5f-e488-42bc-9f3f-e44a148510b2;532fb71f-ebe4-408d-92ec-f8d5588e4615;19;1;18;0;0;0;1579
